date,price,month,year,day_of_week,100414,100415,100416,100442,100448,100458,100462,100467,100476,101448
2019-12-05,1280.064,12,2019,3,1276.3752,1273.1431,1283.8037,1282.1858,1285.4796,1288.9269,1280.4603,1282.5865,1292.092,1286.2476
2019-12-06,1275.9003,12,2019,4,1271.0579,1269.7292,1278.9882,1279.1871,1282.1477,1286.1161,1277.9297,1277.9011,1284.2635,1283.0789
2019-12-07,1272.5594,12,2019,5,1267.8539,1267.1099,1275.4015,1276.7167,1279.7073,1283.8757,1275.2665,1274.582,1280.6549,1280.531
2019-12-08,1272.2511,12,2019,6,1265.579,1265.1793,1274.0352,1274.7633,1275.8193,1280.4697,1273.6101,1269.8583,1275.9353,1276.6599
2019-12-09,1249.9355,12,2019,0,1239.1669,1237.7256,1248.0194,1246.4866,1251.1367,1255.1819,1244.2046,1247.2794,1255.1289,1252.0957
2019-12-10,1334.907,12,2019,1,1321.1029,1318.0863,1332.8904,1327.4437,1332.7705,1335.5938,1325.9448,1332.4404,1341.7015,1332.6663
2019-12-11,1331.8691,12,2019,2,1314.2349,1310.6802,1329.019,1327.8628,1331.2655,1334.3057,1326.0264,1329.5139,1337.8766,1331.1621
2019-12-12,1274.0225,12,2019,3,1261.4386,1257.2992,1273.7806,1265.2881,1270.2875,1271.7983,1264.5579,1271.3114,1280.3417,1269.6538
2019-12-13,1257.6583,12,2019,4,1247.8657,1245.887,1258.5177,1254.3782,1254.7881,1259.3759,1253.6259,1248.8959,1257.7852,1255.5219
2019-12-14,1394.653,12,2019,5,1383.5526,1383.0236,1394.5139,1391.2794,1390.8771,1396.5603,1390.5454,1384.3446,1393.8136,1391.8594
2019-12-15,1250.9042,12,2019,6,1252.4369,1252.4369,1256.5713,1256.4198,1255.6366,1262.0641,1255.6641,1247.2089,1256.7296,1257.4298
2019-12-16,1227.0331,12,2019,0,1226.5131,1223.9675,1232.316,1231.7205,1231.1887,1236.947,1230.8279,1224.1011,1234.0803,1232.8083
2019-12-17,1251.8975,12,2019,1,1252.3916,1249.4866,1257.3583,1257.2383,1255.9241,1262.4974,1256.1156,1248.6508,1258.9895,1258.1858
2019-12-18,1219.2325,12,2019,2,1218.4347,1217.4196,1224.3328,1225.6738,1223.4374,1230.3634,1224.9244,1215.3837,1224.5791,1225.3357
2019-12-19,1250.929,12,2019,3,1249.7776,1247.5918,1256.1766,1255.919,1254.204,1260.4868,1255.3007,1247.59,1257.6263,1255.7577
2019-12-20,1179.4977,12,2019,4,1177.707,1177.1105,1184.4512,1185.4003,1183.1125,1189.8214,1185.0304,1175.2601,1184.1211,1184.8579
2019-12-21,1237.7303,12,2019,5,1242.308,1242.308,1244.2458,1243.1155,1240.921,1247.5942,1242.7057,1232.9955,1242.4308,1242.4197
2019-12-22,1270.8168,12,2019,6,1278.8247,1275.8475,1278.2449,1275.1469,1273.3525,1279.5557,1274.3961,1266.3135,1276.5074,1274.762
2019-12-23,1206.2971,12,2019,0,1205.9507,1206.1189,1210.9524,1214.9398,1213.5905,1221.0665,1213.638,1202.7737,1211.1803,1216.0376
2019-12-24,1249.9534,12,2019,1,1248.5616,1247.1323,1254.7981,1255.9509,1255.0577,1261.4136,1254.9408,1247.2057,1256.7852,1256.6973
2019-12-25,1184.5579,12,2019,2,1182.4802,1182.1189,1189.0023,1190.7432,1189.8276,1196.0701,1189.9539,1181.6213,1190.2491,1191.4255
2019-12-26,1170.5826,12,2019,3,1168.7975,1166.8574,1175.1274,1175.0051,1174.834,1180.2461,1174.2267,1168.3368,1177.6094,1176.281
2019-12-27,1155.9371,12,2019,4,1153.7297,1153.0115,1160.5026,1161.3955,1160.6886,1166.5667,1160.7653,1152.6882,1161.2942,1162.3419
2019-12-28,1238.0349,12,2019,5,1238.432,1238.432,1243.5359,1242.8292,1242.154,1248.1423,1242.3457,1234.5533,1244.0442,1243.4963
2019-12-29,1221.1941,12,2019,6,1224.0095,1224.0095,1226.9734,1226.1252,1225.7544,1231.7172,1225.4327,1217.877,1227.0514,1227.1532
2019-12-30,1347.9166,12,2019,0,1346.0105,1344.5245,1353.2676,1353.318,1353.238,1359.4856,1352.431,1345.2299,1355.6827,1354.6782
2019-12-31,1343.344,12,2019,1,1340.7135,1341.1803,1348.4071,1350.6344,1349.3829,1356.7047,1349.9419,1339.405,1348.8817,1351.1343
2020-01-01,1131.7179,1,2020,2,1145.7819,1136.7032,1140.0093,1134.7201,1132.4817,1138.0273,1133.5688,1126.4298,1134.3698,1133.5912
2020-01-02,1279.7878,1,2020,3,1284.2405,1284.2405,1285.8889,1287.979,1286.2968,1294.449,1286.9766,1274.0988,1281.4213,1288.9036
2020-01-03,1294.6102,1,2020,4,1296.3428,1296.3428,1300.4532,1300.2377,1298.7598,1305.9847,1299.8008,1289.5194,1297.9418,1300.6855
2020-01-04,1318.814,1,2020,5,1320.2638,1320.2638,1324.4115,1323.5308,1322.439,1329.4222,1323.0663,1313.862,1322.6165,1324.2443
2020-01-05,1258.0349,1,2020,6,1265.3324,1261.5856,1264.7723,1261.3594,1260.6428,1266.6556,1260.3284,1253.9113,1262.8984,1262.2241
2020-01-06,1346.2445,1,2020,0,1348.2181,1348.2181,1351.9592,1349.6693,1349.6354,1355.8267,1348.9614,1341.8185,1351.7063,1351.4718
2020-01-07,1256.0199,1,2020,1,1260.7678,1256.2849,1259.8586,1255.8677,1262.1091,1263.6552,1253.8284,1262.0557,1269.0131,1261.8881
2020-01-08,1268.129,1,2020,2,1270.1329,1265.161,1271.811,1264.7437,1271.4688,1271.8774,1263.3967,1274.2662,1282.5259,1270.6332
2020-01-09,1242.8566,1,2020,3,1240.9745,1240.6782,1247.579,1246.7762,1246.9536,1253.0004,1246.1438,1239.4519,1248.4382,1248.8765
2020-01-10,1362.0712,1,2020,4,1359.4272,1359.5145,1367.0171,1366.4098,1366.5367,1373.1516,1365.9009,1358.6145,1368.2115,1368.3833
2020-01-11,1331.0049,1,2020,5,1334.5829,1334.5829,1337.2428,1337.5901,1335.8472,1343.1602,1336.7104,1325.8607,1332.0446,1337.8834
2020-01-12,1236.8341,1,2020,6,1240.4508,1240.4508,1242.723,1241.3187,1240.4098,1246.7113,1240.7898,1232.6125,1238.6498,1241.9647
2020-01-13,1226.1252,1,2020,0,1223.3606,1224.3563,1230.3848,1231.4767,1230.9054,1237.3333,1230.9186,1222.3853,1228.2354,1232.7651
2020-01-14,1132.4982,1,2020,1,1129.716,1130.076,1136.5236,1136.4736,1136.9332,1142.5,1135.8131,1130.0228,1135.4824,1138.649
2020-01-15,1202.3064,1,2020,2,1198.48,1199.609,1206.1829,1206.5494,1207.3153,1212.7211,1206.1813,1199.4358,1205.1152,1208.5106
2020-01-16,1232.4637,1,2020,3,1228.2623,1228.734,1236.0538,1235.8693,1237.7802,1242.6333,1235.2382,1230.9425,1236.8643,1238.7675
2020-01-17,1266.8483,1,2020,4,1262.3154,1263.7756,1270.6636,1271.1259,1271.9645,1277.3336,1270.8174,1263.9983,1269.8176,1272.8312
2020-01-18,1318.7421,1,2020,5,1335.3177,1322.4473,1328.072,1321.0138,1320.6915,1325.5905,1319.1028,1314.6318,1321.4517,1321.4052
2020-01-19,1243.4646,1,2020,6,1259.1305,1246.6825,1252.2914,1245.2855,1244.6132,1249.09,1243.5936,1239.5281,1246.0547,1245.1741
2020-01-20,1209.8076,1,2020,0,1206.4177,1206.1986,1213.6779,1212.754,1214.2612,1218.773,1212.2963,1207.7257,1213.658,1215.0328
2020-01-21,1223.1049,1,2020,1,1214.8356,1214.4152,1223.8217,1221.8124,1230.037,1230.0588,1220.6809,1231.2876,1235.9934,1228.7095
2020-01-22,1119.7115,1,2020,2,1111.7533,1112.2976,1120.3899,1121.6244,1128.2124,1129.1685,1119.8293,1127.9572,1131.9126,1127.2252
2020-01-23,1256.7626,1,2020,3,1245.5461,1245.5677,1256.9833,1256.146,1263.7772,1264.49,1255.4857,1264.3219,1268.6589,1262.4547
2020-01-24,1159.1099,1,2020,4,1150.6084,1151.3969,1159.8104,1158.7694,1165.4583,1166.2948,1157.9591,1165.9221,1169.9794,1164.4504
2020-01-25,1004.6761,1,2020,5,1006.26685,1001.7449,1007.4738,1002.8134,1008.4686,1008.4125,1001.4876,1010.6435,1014.71344,1007.2394
2020-01-26,1064.9089,1,2020,6,1060.4314,1060.4314,1066.2417,1062.7223,1069.4573,1069.4624,1062.1534,1071.3771,1075.5044,1068.2556
2020-01-27,1010.03735,1,2020,0,1008.1731,1004.36786,1012.49115,1010.2611,1016.7316,1017.4765,1008.5355,1016.3103,1019.7484,1016.2648
2020-01-28,1057.6973,1,2020,1,1053.2805,1048.6311,1059.1548,1054.6661,1061.292,1061.1086,1053.6549,1065.1405,1069.5856,1060.1296
2020-01-29,1109.5175,1,2020,2,1105.8838,1099.8522,1111.2676,1106.6764,1113.301,1113.0674,1105.3185,1117.538,1122.0676,1111.9169
2020-01-30,1098.0833,1,2020,3,1095.3885,1089.2622,1099.9525,1094.0867,1101.3608,1100.9211,1092.9545,1106.0392,1110.749,1100.1211
2020-01-31,1060.5989,1,2020,4,1058.1305,1052.4634,1062.4923,1057.3523,1064.0316,1063.6204,1056.2003,1067.9773,1072.5005,1062.6708
2020-02-01,1107.4755,2,2020,5,1107.5405,1104.3312,1109.9148,1104.1407,1110.8765,1110.6102,1103.2087,1114.6304,1119.3372,1109.401
2020-02-02,1117.9951,2,2020,6,1112.4088,1112.4088,1118.9536,1114.9834,1122.4856,1122.1826,1114.255,1125.4792,1130.1449,1121.1561
2020-02-03,1276.2651,2,2020,0,1272.5736,1269.4067,1277.631,1276.0363,1284.5317,1285.3735,1273.8765,1285.2812,1289.9775,1284.1509
2020-02-04,1241.9996,2,2020,1,1242.1218,1238.2563,1246.7482,1244.2291,1245.6785,1250.2422,1243.1965,1240.6224,1247.001,1246.6398
2020-02-05,1200.9247,2,2020,2,1201.0835,1197.6366,1205.6305,1203.4774,1204.4723,1209.1013,1202.5281,1199.2063,1205.3085,1205.49
2020-02-06,1108.1133,2,2020,3,1108.1624,1105.7786,1112.5673,1111.4886,1112.0323,1116.6066,1110.6794,1106.4906,1111.9061,1112.9246
2020-02-07,1211.5908,2,2020,4,1212.6411,1208.3217,1216.5878,1214.2754,1215.5981,1220.2899,1213.2566,1210.2023,1216.3147,1216.7012
2020-02-08,1236.8992,2,2020,5,1240.8953,1239.0369,1242.4879,1239.5519,1240.9784,1245.9324,1238.6747,1235.0779,1241.3093,1242.0931
2020-02-09,1197.3104,2,2020,6,1204.1683,1199.468,1203.4381,1198.8629,1200.4802,1204.6117,1197.6711,1195.759,1202.1805,1201.4777
2020-02-10,1214.5352,2,2020,0,1210.8347,1212.1655,1218.2267,1216.983,1219.2336,1223.8075,1216.5725,1213.539,1219.7772,1220.305
2020-02-11,1301.0616,2,2020,1,1296.9681,1299.2112,1305.1434,1304.7649,1305.9784,1311.5079,1304.4855,1299.1865,1305.6373,1307.2418
2020-02-12,1254.9532,2,2020,2,1251.0618,1252.7876,1258.8049,1257.9325,1259.939,1265.0197,1257.5405,1253.6449,1259.95,1261.48
2020-02-13,1227.7662,2,2020,3,1224.05,1225.9105,1231.5961,1230.8527,1232.4252,1237.4359,1230.5522,1226.194,1232.362,1233.692
2020-02-14,1223.6921,2,2020,4,1220.1941,1221.8756,1227.6266,1226.8059,1228.1224,1233.1328,1226.5156,1221.7686,1227.9487,1229.3939
2020-02-15,1219.5826,2,2020,5,1221.3746,1221.3746,1224.7141,1223.34,1223.7498,1229.1257,1222.6774,1216.9158,1222.9186,1225.0795
2020-02-16,1209.5073,2,2020,6,1216.1982,1212.4705,1215.8069,1211.7207,1211.8602,1216.4982,1210.7811,1206.4657,1212.8793,1212.9817
2020-02-17,1116.6852,2,2020,0,1113.8339,1114.8077,1120.3331,1119.3794,1120.5547,1125.0995,1118.977,1115.0524,1120.8043,1121.7689
2020-02-18,1107.9607,2,2020,1,1105.1348,1106.5835,1111.361,1111.1815,1111.7875,1116.8708,1110.6816,1105.7703,1111.2933,1113.4082
2020-02-19,1118.9137,2,2020,2,1115.2178,1117.7465,1122.136,1122.7792,1122.6443,1128.2235,1122.5422,1115.7852,1120.9447,1124.0977
2020-02-20,1042.8077,2,2020,3,1039.3687,1041.8069,1045.8193,1046.503,1046.4875,1051.6583,1046.2423,1039.9878,1044.744,1047.9885
2020-02-21,1142.7823,2,2020,4,1139.3177,1141.6671,1146.1904,1146.6876,1146.5582,1152.1213,1146.3705,1139.6466,1144.9801,1148.1444
2020-02-22,1192.3467,2,2020,5,1190.9714,1190.9714,1196.2983,1195.8375,1196.3201,1201.3966,1195.0922,1190.1641,1195.644,1197.6476
2020-02-23,1160.6615,2,2020,6,1160.3009,1160.3009,1164.6858,1162.9939,1163.5493,1168.2389,1162.511,1158.229,1163.6862,1164.6552
2020-02-24,1228.3708,2,2020,0,1229.4872,1229.4872,1233.1047,1230.736,1231.388,1236.1913,1230.3413,1226.084,1232.0007,1232.4314
2020-02-25,1171.2151,2,2020,1,1166.393,1167.143,1174.0037,1173.7045,1175.993,1180.1874,1173.0557,1171.2563,1176.688,1177.0377
2020-02-26,1210.5098,2,2020,2,1203.8684,1205.31,1212.5781,1212.5188,1216.1576,1219.7336,1211.7631,1212.751,1217.7891,1216.7832
2020-02-27,1007.751,2,2020,3,1004.7387,1004.61646,1010.0161,1008.6918,1012.16,1014.4359,1007.8715,1009.68005,1014.0965,1012.27167
2020-02-28,1189.8458,2,2020,4,1184.0758,1186.2566,1192.0626,1191.9756,1195.2606,1198.868,1191.3524,1191.6532,1196.5278,1195.7225
2020-02-29,1281.0216,2,2020,5,1279.676,1279.676,1284.5692,1281.924,1285.3046,1288.6361,1281.3246,1282.446,1287.9841,1285.3639
2020-03-01,1171.4935,3,2020,6,1170.0524,1170.0524,1174.8247,1171.8356,1176.2191,1179.3848,1171.1908,1173.3927,1178.5314,1177.4554
2020-03-02,1243.5845,3,2020,0,1233.5472,1236.823,1244.8258,1244.745,1250.7051,1254.2299,1244.3282,1246.6353,1251.7711,1252.0739
2020-03-03,1244.906,3,2020,1,1235.5728,1238.9489,1246.228,1246.9186,1252.352,1256.5677,1246.2163,1247.6007,1252.5901,1254.2458
2020-03-04,1222.3391,3,2020,2,1213.1902,1216.4318,1223.9644,1224.248,1229.0388,1232.9276,1223.8787,1224.7937,1229.724,1230.5238
2020-03-05,1259.2812,3,2020,3,1254.1624,1255.644,1262.9093,1262.7281,1264.9186,1270.9745,1262.2306,1256.6434,1262.5222,1267.6998
2020-03-06,1203.9496,3,2020,4,1195.4724,1199.0625,1205.737,1206.9413,1213.0127,1216.872,1206.1711,1208.3767,1212.9056,1214.9312
2020-03-07,1229.0637,3,2020,5,1242.8837,1230.6566,1236.2167,1227.9207,1232.4498,1235.0656,1225.7144,1231.0157,1236.86,1233.697
2020-03-08,1302.0328,3,2020,6,1316.7867,1305.6111,1309.5812,1303.1987,1306.8715,1310.6399,1300.8362,1302.9286,1308.604,1308.6376
2020-03-09,1302.4076,3,2020,0,1316.6024,1304.5704,1310.0238,1302.0247,1305.4979,1308.6293,1299.9829,1303.3217,1309.2847,1306.7136
2020-03-10,1007.11127,3,2020,1,999.8712,1002.92993,1008.55536,1009.03455,1013.1886,1016.37476,1009.24133,1009.2072,1013.2267,1014.49866
2020-03-11,1120.5905,3,2020,2,1117.6658,1115.9084,1123.4681,1121.1375,1125.7446,1128.6223,1120.7557,1122.8883,1127.8391,1127.0493
2020-03-12,1122.8704,3,2020,3,1120.4213,1119.5161,1125.7424,1124.5192,1128.4646,1132.2146,1124.0416,1124.5693,1129.2303,1130.2898
2020-03-13,1256.0374,3,2020,4,1249.6707,1251.7327,1258.3367,1258.6846,1263.7211,1267.9818,1258.3905,1258.211,1263.1669,1265.8538
2020-03-14,1275.2227,3,2020,5,1276.1177,1275.0463,1279.2872,1276.1709,1280.9531,1284.7784,1275.1598,1276.8002,1282.1874,1282.8154
2020-03-15,1103.7418,3,2020,6,1116.2792,1105.2952,1110.2673,1102.8744,1106.3044,1108.7748,1101.0538,1104.8303,1110.0729,1107.4574
2020-03-16,1067.3676,3,2020,0,1066.1952,1064.9401,1070.547,1069.3231,1072.2145,1076.6244,1068.0486,1067.9941,1071.788,1073.335
2020-03-17,1182.5707,3,2020,1,1179.5654,1178.4172,1185.5862,1184.4248,1187.8429,1192.7124,1183.07,1184.0945,1188.9293,1189.247
2020-03-18,1319.1337,3,2020,2,1311.0452,1313.7036,1321.1538,1321.9155,1327.2827,1333.4777,1320.6312,1320.7767,1325.7657,1330.4031
2020-03-19,1151.1001,3,2020,3,922.4417,1120.3754,1109.1438,1153.9281,1234.8463,1223.8997,1165.2555,1249.9684,1303.2916,1229.3871
2020-03-20,1346.9757,3,2020,4,1341.6942,1342.6345,1349.7639,1350.1445,1354.6821,1360.7297,1348.6561,1348.3816,1353.701,1357.4011
2020-03-21,1249.8281,3,2020,5,1242.8047,1245.7445,1252.056,1253.4799,1256.9608,1261.7565,1252.9836,1250.8074,1255.4053,1258.9996
2020-03-22,1052.2422,3,2020,6,1046.0214,1048.7048,1053.9952,1055.0867,1058.102,1062.0732,1054.7787,1052.9937,1056.7788,1059.728
2020-03-23,1078.0039,3,2020,0,1072.1927,1074.2721,1079.9899,1080.6421,1084.9752,1088.7246,1079.924,1079.7922,1083.7667,1086.863
2020-03-24,1314.7772,3,2020,1,1306.1089,1309.7875,1316.5792,1317.5448,1325.2828,1329.9337,1316.3992,1318.0587,1323.0886,1329.2478
2020-03-25,1311.1913,3,2020,2,1304.6895,1306.5929,1313.6589,1314.027,1320.4109,1324.8961,1312.8872,1313.4718,1318.5205,1323.8243
2020-03-26,1301.195,3,2020,3,1294.657,1296.604,1303.6091,1303.7091,1308.8784,1313.2404,1302.9102,1303.166,1308.1504,1311.026
2020-03-27,1234.1676,3,2020,4,1229.0203,1230.3636,1236.7688,1236.8499,1241.249,1245.4125,1236.0396,1235.8182,1240.6603,1243.145
2020-03-28,1129.6768,3,2020,5,1122.9613,1125.719,1131.4589,1132.589,1136.4889,1140.3055,1131.9265,1131.0925,1135.3159,1137.9703
2020-03-29,965.014,3,2020,6,962.2652,962.2652,967.25244,967.07745,970.3397,973.4873,966.2586,966.26074,969.9788,971.5674
2020-03-30,970.9213,3,2020,0,967.18524,969.2329,972.8637,972.6485,975.9856,979.10724,972.1175,971.9473,975.7112,977.1554
2020-03-31,914.53827,3,2020,1,910.947,912.8784,916.4597,916.43176,919.12805,922.1966,915.9408,915.1067,918.604,920.2356
2020-04-01,1162.3889,4,2020,2,1155.5906,1161.5345,1164.6028,1167.2979,1171.0,1177.0328,1167.062,1162.8967,1166.4691,1174.1415
2020-04-02,918.00696,4,2020,3,913.55414,918.57697,919.85126,922.14136,924.02496,928.4153,921.99036,917.9587,921.0296,925.8186
2020-04-03,1109.6129,4,2020,4,1104.1185,1110.2892,1111.6562,1114.6865,1117.3643,1122.7488,1114.5531,1109.5269,1113.1125,1119.6433
2020-04-04,1182.9746,4,2020,5,1176.1375,1181.3756,1184.9852,1188.9603,1191.3763,1197.1394,1188.5751,1182.9723,1186.8608,1193.849
2020-04-05,1171.929,4,2020,6,1165.0442,1169.7661,1173.9508,1176.8302,1179.4598,1184.7719,1176.5265,1172.0653,1176.1305,1181.7305
2020-04-06,1428.1694,4,2020,0,1429.7024,1426.8265,1433.3103,1433.4749,1436.113,1441.9066,1431.952,1428.2784,1433.1934,1438.5503
2020-04-07,1157.1892,4,2020,1,1149.5112,1154.4049,1159.6743,1162.0294,1164.369,1169.652,1162.045,1157.0796,1160.7073,1166.3159
2020-04-08,1029.4247,4,2020,2,1022.51605,1027.9799,1031.2983,1035.2864,1037.3987,1042.586,1035.0369,1029.3593,1032.1589,1039.6309
2020-04-09,1201.3462,4,2020,3,1202.5542,1200.509,1205.7336,1205.582,1208.2567,1213.2379,1204.4744,1201.3749,1205.3966,1210.4098
2020-04-10,1205.8369,4,2020,4,1197.7157,1203.6152,1207.8986,1211.4248,1214.6135,1220.2981,1211.2844,1205.74,1209.2194,1217.1978
2020-04-11,1124.4843,4,2020,5,1116.264,1122.2882,1126.2885,1130.3649,1132.6167,1138.3209,1130.5042,1123.6887,1128.8309,1134.9124
2020-04-12,933.5902,4,2020,6,926.24396,931.3954,934.97504,938.3218,940.79395,945.3691,938.3742,933.474,937.5431,942.823
2020-04-13,1291.0892,4,2020,0,1283.5919,1288.5145,1293.4562,1296.1008,1299.3954,1304.975,1295.9794,1290.9377,1297.5571,1301.7618
2020-04-14,1327.4977,4,2020,1,1318.7866,1325.1312,1329.7239,1332.9613,1336.5176,1342.8856,1332.8326,1327.8007,1334.5513,1339.5016
2020-04-15,1366.4586,4,2020,2,1359.4354,1365.239,1369.5122,1373.7549,1376.247,1384.034,1373.7803,1364.752,1371.0217,1379.8517
2020-04-16,1321.426,4,2020,3,1314.4247,1318.6145,1324.8644,1326.0862,1328.5686,1334.5769,1326.4603,1320.0178,1326.8729,1330.9113
2020-04-17,1336.4719,4,2020,4,1329.3994,1334.4222,1338.964,1342.2625,1346.3442,1353.32,1341.8938,1336.3225,1343.0581,1349.8771
2020-04-18,1309.9302,4,2020,5,1295.3657,1298.4141,1307.4874,1306.7814,1311.0062,1315.6398,1306.1042,1304.5541,1311.0961,1312.992
2020-04-19,1036.1769,4,2020,6,1025.5126,1027.6676,1034.5691,1034.0487,1037.0321,1040.6819,1033.5105,1031.8833,1035.7333,1038.5944
2020-04-20,1341.257,4,2020,0,1324.1244,1326.3712,1338.4989,1338.6887,1343.2933,1348.4635,1338.2234,1336.0021,1340.5618,1345.7178
2020-04-21,1214.1732,4,2020,1,1200.3025,1201.1144,1212.1128,1211.2327,1214.2343,1218.2618,1210.8201,1208.7083,1213.6652,1215.7811
2020-04-22,1229.7404,4,2020,2,1214.9899,1217.3007,1227.8906,1228.1432,1230.2345,1235.0615,1228.2266,1223.1085,1227.1166,1232.1499
2020-04-23,1461.118,4,2020,3,1442.3097,1444.6616,1458.5292,1462.0236,1463.3557,1469.5162,1460.9974,1453.7625,1458.4543,1465.5204
2020-04-24,1448.9722,4,2020,4,1429.4746,1431.2546,1446.2871,1449.1285,1451.4747,1457.4509,1447.9403,1442.3892,1447.3525,1454.0785
2020-04-25,1112.7379,4,2020,5,1106.4266,1110.8512,1114.9886,1118.9515,1120.0436,1125.3994,1118.7792,1111.276,1117.3031,1122.0808
2020-04-26,924.2321,4,2020,6,917.6916,922.0221,925.60126,929.0739,930.38885,934.54596,928.9699,923.411,927.2455,931.9797
2020-04-27,1152.4705,4,2020,0,1143.7305,1147.6317,1152.9764,1157.7155,1161.1887,1166.3302,1157.8262,1153.6443,1158.0018,1163.474
2020-04-28,1134.5233,4,2020,1,1124.7461,1131.2811,1134.8597,1141.7678,1143.0475,1147.8784,1141.463,1135.192,1139.626,1144.635
2020-04-29,1248.6748,4,2020,2,1243.4965,1244.4662,1250.7776,1255.5746,1256.804,1262.0568,1255.0928,1248.5702,1253.9572,1258.5776
2020-04-30,1217.7424,4,2020,3,1212.3643,1212.6056,1220.1416,1223.5339,1225.5614,1230.3752,1222.7936,1217.8276,1223.1812,1227.2009
2020-05-01,876.6107,5,2020,4,867.1352,870.70935,875.902,877.6827,883.92,884.3675,877.15454,884.1206,886.24896,883.75867
2020-05-02,818.1159,5,2020,5,808.24854,811.8175,817.62585,818.75415,823.68726,823.9484,818.5981,824.52386,826.6476,823.0537
2020-05-03,765.1806,5,2020,6,755.90826,760.0299,764.3364,766.8238,771.7491,772.37585,766.47406,771.4117,773.16693,771.5703
2020-05-04,935.24426,5,2020,0,923.22327,928.5647,933.98193,936.96326,942.8792,943.60345,936.71735,942.5518,944.61414,942.57715
2020-05-05,932.7302,5,2020,1,920.015,926.0425,931.2938,934.7521,940.3304,941.3497,934.6554,939.6692,941.5589,940.0637
2020-05-06,1153.2844,5,2020,2,1138.2975,1144.5076,1151.5353,1154.9454,1162.1841,1162.9053,1154.5609,1162.3887,1165.0574,1161.6471
2020-05-07,1154.4856,5,2020,3,1138.4336,1146.4348,1152.3759,1157.7358,1164.8546,1166.1373,1157.3934,1163.7821,1165.6958,1164.5039
2020-05-08,1157.4442,5,2020,4,1141.2675,1149.0857,1155.2002,1160.3888,1167.0443,1168.5618,1160.0999,1167.6212,1169.3535,1165.716
